Date,Année financière,Titre,Fournisseur,Montant,Montant (virg),Montant ($),Code UNSPSC,Type de devis,Type,Nature,Nb soumissionnaires,Numéro SEAO,Numéro de contrat UQAM
2006-10-26,2006-2007,Résumé d'efficacité énergétique au campus central,EPM Mécanic,39798.65,"39798,65","39 798,65 $",83101900,Économie d'énergie,Contrat adjugé suite à un appel d'offres sur invitations,Services,1,480006,P05035HH01
2008-09-30,2008-2009,Salon G,Baja Construction Inc.,52183.07,"52183,07","52 183,07 $",72102801,Rénovation d'immeubles ou de lieux historiques ou de monuments,Contrat adjugé suite à un appel d'offres sur invitations,Travaux de construction,1,480090,P08014AA01
2008-11-04,2008-2009,Développement d'outils informatiques (logiciels et applications pour la modélisation forestière).,Dao Ying Ecosystems Group,55000.0,55000,"55 000,00 $",81153001,"Service en informatique, développement logiciel, programmation et soutien géomatique",Contrat octroyé de gré à gré,Services,1,468706,SPRI-MESC5-02
2008-11-04,2008-2009,Réalisation d'un documentaire dans le cadre du projet La planète dort au gaz.,Martin Morissette,35000.0,35000,"35 000,00 $",86141702,Service de technologie audiovisuelle,Contrat octroyé de gré à gré,Services,1,468974,PANF0-01
2009-01-16,2008-2009,Achat et installation de rideaux avec mécanismes pour salle,Draperies Commerciales A N Inc,31746.09,"31746,09","31 746,09 $",52131501,Tapis oriental,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,262625,C9-1479-1
2009-01-19,2008-2009,Relocalisation CHOQ FM,J.C.B. entrepreneurs généraux.,91827.25,"91827,25","91 827,25 $",72102801,Rénovation d'immeubles ou de lieux historiques ou de monuments,Contrat adjugé suite à un appel d'offres sur invitations,Travaux de construction,1,480100,P08023AA01
2009-01-29,2008-2009,Contrat pour achats décentralisés de produits Apple,Micro-Boutique Universitaire Inc.,250000.0,250000,"250 000,00 $",43000000,"Technologies de l'information, radiodiffusion et télécommunications",Contrat octroyé de gré à gré,Approvisionnements (biens),1,264486,K9-1186-1
2009-01-29,2008-2009,Produits QIAGEN,QIAGEN CANADA INC.,120000.0,120000,"120 000,00 $",60103919,Fournitures ou trousses d'expériences biologiques,Contrat octroyé de gré à gré,Approvisionnements (biens),1,264485,K9-1397-1
2009-01-29,2008-2009,Achat d'un appareil Combiflash RF-200 Automated Flash Chromatography System RFID Technology,TELEDYNE ISCO,37000.0,37000,"37 000,00 $",41110000,"Instruments de mesure, d'observation et d'essai",Contrat octroyé de gré à gré,Approvisionnements (biens),1,264668,C9-1745-1
2009-01-30,2008-2009,Évaluation de coûts pour de la relève informatique (Consultation en informatique),BELL CANADA,42000.0,42000,"42 000,00 $",80101507,Services conseils - technologies de l'information,Contrat adjugé suite à un appel d'offres sur invitations,Services,1,264887,K9-1730-1
2009-02-02,2008-2009,Ordis + moniteurs Ciara,Hypertec Systèmes (Montréal),58016.0,58016,"58 016,00 $",43210000,Matériel et accessoires informatiques,Contrat octroyé de gré à gré,Approvisionnements (biens),1,316450,C0-0351-1
2009-02-05,2008-2009,Achat de 10 stéréomicroscopes Leica MS5,Leica Microsystems Canada,31250.0,31250,"31 250,00 $",41111703,Microscope stéréoscopique,Contrat octroyé de gré à gré,Approvisionnements (biens),1,266408,C9-2041-1
2009-02-11,2008-2009,Achat de un microscope interférentiel,Leica Microsystems Canada,48125.2,"48125,2","48 125,20 $",41111711,Microscope électronique,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,268137,C0-1476-1
2009-02-13,2008-2009,Dimatix Materials Printer Vector Graphics pour nanolithography system,DIMATIX FUJIFILM INC.,43750.0,43750,"43 750,00 $",43212107,Imprimante traceur,Contrat octroyé de gré à gré,Approvisionnements (biens),1,268945,C9-2085-1
2009-02-13,2008-2009,Achat de 40 micro-ordinateurs CIARA,Hypertec Systèmes (Montréal),39480.0,39480,"39 480,00 $",43211508,Ordinateurs de table,Contrat octroyé de gré à gré,Approvisionnements (biens),1,268930,C9-2099-1
2009-02-13,2008-2009,Maintenance logiciels percinieux McAfee,Softchoice Corporation,36622.06,"36622,06","36 622,06 $",43233200,Logiciel de sécurité et de protection,Contrat octroyé de gré à gré,Approvisionnements (biens),1,268932,K7-0966-2
2009-02-16,2008-2009,Achat de 21 micro-ordinateurs HP DC7900,CPU DESIGN,25662.0,25662,"25 662,00 $",43210000,Matériel et accessoires informatiques,Contrat octroyé de gré à gré,Approvisionnements (biens),1,269255,C9-2107-1
2009-02-17,2008-2009,Achat de cameras de capture de mouvement numérique,MOTION ANALYSIS Co.,177777.78,"177777,78","177 777,78 $",45121511,Caméra ultra-rapide,Contrat octroyé de gré à gré,Approvisionnements (biens),1,269662,C9-1844-1
2009-02-23,2008-2009,Service d'agence de sécurité gardiennage,GARDIUM SECURITE INC.,60000.0,60000,"60 000,00 $",90152100,Services de gardiennage,Contrat octroyé de gré à gré,Services,1,270763,K9-2136-1
2009-02-24,2008-2009,"Achat, sur demande, de cartouches HP pour imprimantes",COMPUTER MEDIA GROUP,110000.0,110000,"110 000,00 $",44103141,Cartouche d'encre pour imprimante laser,Contrat octroyé de gré à gré,Approvisionnements (biens),1,271664,K6-1605-3
2009-02-24,2008-2009,Achat de 30 micro-ordinateurs HP DC7900,CPU DESIGN,33150.0,33150,"33 150,00 $",43210000,Matériel et accessoires informatiques,Contrat octroyé de gré à gré,Approvisionnements (biens),1,271514,C9-2160-1
2009-02-24,2008-2009,Broadband Seismometers Trillium Nanometrics,NANOMETRICS,25206.0,25206,"25 206,00 $",41100000,Équipement de laboratoire,Contrat octroyé de gré à gré,Approvisionnements (biens),1,271489,C9-2098-1
2009-02-25,2008-2009,Service d'agence de sécurité gardiennage,BCIA Bur. Canadien Investigation ajustements,50000.0,50000,"50 000,00 $",90152100,Services de gardiennage,Contrat octroyé de gré à gré,Services,1,272368,K9-2181-1
2009-03-02,2008-2009,Remplacement des transformateurs des pavillons Aquin et Jasmin,Bouthillette Parizeau & Ass. Inc.,97636.87,"97636,87","97 636,87 $",81101600,Génie mécanique,Contrat adjugé suite à un appel d'offres sur invitations,Services,1,480083,P08018HH01
2009-03-04,2008-2009,"Achat, sur demande, de chaussures de sécurité",Chaussures Belmont Inc,68000.0,68000,"68 000,00 $",53111600,Souliers,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,275106,K7-1718-1
2009-03-04,2008-2009,"Achat, sur demande, de pièces Yaskawa",Entrep. Électrique L.M. Inc.,60000.0,60000,"60 000,00 $",23171900,Pièces d'outillage spéciales,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,275785,K9-1693-1
2009-03-04,2008-2009,"Entretien correctif, sur demande, d.équipements de manutention",BELMONT LIFT INC.,57400.0,57400,"57 400,00 $",24100000,Matériel et appareil de manutention,Contrat adjugé suite à un appel d'offres sur invitations,Services,1,275792,K901721-1
2009-03-04,2008-2009,"Soutien technique, mise à jour et maintenance Oracle",Oracle Corporation,28894.53,"28894,53","28 894,53 $",43232304,Logiciel de système de gestion de base de données,Contrat octroyé de gré à gré,Services,1,275826,K9-1799-1
2009-03-04,2008-2009,Achat de matériel pour la brumatisation de serre,INDUSTRIES HARNOIS INC.,27068.17,"27068,17","27 068,17 $",41112300,Instruments de mesure de l'humidité,Contrat octroyé de gré à gré,Approvisionnements (biens),1,275109,C9-2108-1
